站名,座標,緯度,經度
中壢區殯葬服務中心,24.97696+121.22768,24.97696,121.22768
銀河餐廳,24.99299+121.27164,24.99299,121.27164
南竹奉化路口,25.04216+121.28576,25.04216,121.28576
光明國中(南竹路),25.04454+121.28841,25.04454,121.28841
五福宮(五權里),25.01753+121.22872,25.01753,121.22872
龍慈路口,24.94427+121.24837,24.94427,121.24837
富岡國小,24.93703+121.08056,24.93703,121.08056
朝靈宮,24.94087+121.078,24.94087,121.078
富岡國中,24.94246+121.07415,24.94246,121.07415
新復興公司,24.94201+121.06452,24.94201,121.06452
望間橋,24.94735+121.06419,24.94735,121.06419
十五間,24.94942+121.06046,24.94942,121.06046
新湖路口,24.95739+121.05126,24.95739,121.05126
上大坡,24.95797+121.04706,24.95797,121.04706
大坡國小,24.9575+121.04123,24.9575,121.04123
大坡(一),24.95892+121.03848,24.95892,121.03848
大坡里六鄰,24.95628+121.03076,24.95628,121.03076
後庄里林厝,24.95271+121.02218,24.95271,121.02218
後庄里社區活動中心,24.95149+121.01932,24.95149,121.01932
後庄里姜厝,24.95073+121.01652,24.95073,121.01652
後庄社區,24.94946+121.01129,24.94946,121.01129
市農會,24.99071+121.26725,24.99071,121.26725
金鋒市場,24.94632+121.24649,24.94632,121.24649
新明市場,24.95548+121.21629,24.95548,121.21629
笨港國小,24.97461+121.02702,24.97461,121.02702
士林紙廠,24.98182+121.02691,24.98182,121.02691
香坡華城,24.96616+121.03133,24.96616,121.03133
范厝,24.96472+121.03353,24.96472,121.03353
游屋莊,24.96284+121.0368,24.96284,121.0368
